"id","lat","lng","elevation","locationType","primarySegment_id","secondarySegment_id","wheelCount"
4381,"32.515835492494","-97.0463691120142","0","Pig Run Point",8,"",""
4380,"32.516469980358","-97.0467969685264","0","Pig Run Point",8,"",""
4379,"32.517104468222","-97.0472248250386","0","Pig Run Point",8,"",""
4378,"32.517738956086","-97.0476526815508","0","Pig Run Point",8,"",""
4377,"32.5183734439499","-97.0480805380629","0","Pig Run Point",8,"",""
4376,"32.5190079318139","-97.0485083945751","0","Pig Run Point",8,"",""
4375,"32.5193886245323","-97.0487651084824","0","Pig Run Point",8,"",""
4374,"32.5195155221051","-97.0488506797848","0","Pig Run Point",8,"",""
4373,"32.5196424196779","-97.0489362510873","0","Pig Run Point",8,"",""
4372,"32.5202769075419","-97.0493641075995","0","Pig Run Point",8,"",""
4371,"32.5209113954059","-97.0497919641116","0","Pig Run Point",8,"",""
4370,"32.5215458832699","-97.0502198206238","0","Pig Run Point",8,"",""
4369,"32.5221803711339","-97.050647677136","0","Pig Run Point",8,"",""
4368,"32.5228148589979","-97.0510755336482","0","Pig Run Point",8,"",""
4367,"32.5234493468619","-97.0515033901603","0","Pig Run Point",8,"",""
4366,"32.5240838347259","-97.0519312466725","0","Pig Run Point",8,"",""
4365,"32.5247183225899","-97.0523591031847","0","Pig Run Point",8,"",""
4364,"32.5253528104538","-97.0527869596969","0","Pig Run Point",8,"",""
4363,"32.5259872983178","-97.053214816209","0","Pig Run Point",8,"",""
4362,"32.5266217861818","-97.0536426727212","0","Pig Run Point",8,"",""
4361,"32.5272562740458","-97.0540705292334","0","Pig Run Point",8,"",""
4360,"32.5278907619098","-97.0544983857456","0","Pig Run Point",8,"",""
4359,"32.5285252497738","-97.0549262422577","0","Pig Run Point",8,"",""
4358,"32.5291597376378","-97.0553540987699","0","Pig Run Point",8,"",""
4357,"32.5297942255018","-97.0557819552821","0","Pig Run Point",8,"",""
4356,"32.5304287133658","-97.0562098117943","0","Pig Run Point",8,"",""
4355,"32.5310632012298","-97.0566376683064","0","Pig Run Point",8,"",""
4354,"32.5316976890938","-97.0570655248186","0","Pig Run Point",8,"",""
4353,"32.5323321769577","-97.0574933813308","0","Pig Run Point",8,"",""
4352,"32.5329666648217","-97.057921237843","0","Pig Run Point",8,"",""
4351,"32.5336011526857","-97.0583490943551","0","Pig Run Point",8,"",""
4350,"32.5342356405497","-97.0587769508673","0","Pig Run Point",8,"",""
4349,"32.5348701284137","-97.0592048073795","0","Pig Run Point",8,"",""
4348,"32.5355046162777","-97.0596326638917","0","Pig Run Point",8,"",""
4347,"32.5361391041417","-97.0600605204038","0","Pig Run Point",8,"",""
4346,"32.5367735920057","-97.060488376916","0","Pig Run Point",8,"",""
4345,"32.5374080798697","-97.0609162334282","0","Pig Run Point",8,"",""
4344,"32.5375349774425","-97.0610018047306","0","Pig Run Point",8,"",""
4343,"32.5376618750153","-97.0610873760331","0","Pig Run Point",8,"",""
4342,"32.5377887725881","-97.0611729473355","0","Pig Run Point",8,"",""
4341,"32.5380425677337","-97.0613440899404","0","Pig Run Point",8,"",""
4340,"32.5386770555977","-97.0617719464525","0","Pig Run Point",8,"",""
4339,"32.5393115434616","-97.0621998029647","0","Pig Run Point",8,"",""
4338,"32.5399460313256","-97.0626276594769","0","Pig Run Point",8,"",""
4337,"32.5405805191896","-97.0630555159891","0","Pig Run Point",8,"",""
4336,"32.5412150070536","-97.0634833725012","0","Pig Run Point",8,"",""
4335,"32.5418494949176","-97.0639112290134","0","Pig Run Point",8,"",""
4334,"32.5424839827816","-97.0643390855256","0","Pig Run Point",8,"",""
4333,"32.5431184706456","-97.0647669420378","0","Pig Run Point",8,"",""
4332,"32.5437529585096","-97.0651947985499","0","Pig Run Point",8,"",""
4331,"32.5443874463736","-97.0656226550621","0","Pig Run Point",8,"",""
4330,"32.5450219342376","-97.0660505115743","0","Pig Run Point",8,"",""
4329,"32.5456564221016","-97.0664783680865","0","Pig Run Point",8,"",""
4328,"32.5462909099655","-97.0669062245986","0","Pig Run Point",8,"",""
4327,"32.5469253978295","-97.0673340811108","0","Pig Run Point",8,"",""
4326,"32.5475598856935","-97.067761937623","0","Pig Run Point",8,"",""
4325,"32.5481943735575","-97.0681897941352","0","Pig Run Point",8,"",""
4324,"32.5488288614215","-97.0686176506473","0","Pig Run Point",8,"",""
4323,"32.5494633492855","-97.0690455071595","0","Pig Run Point",8,"",""
4322,"32.5500978371495","-97.0694733636717","0","Pig Run Point",8,"",""
4321,"32.5507323250135","-97.0699012201839","0","Pig Run Point",8,"",""
4320,"32.5513668128775","-97.070329076696","0","Pig Run Point",8,"",""
4319,"32.5520013007415","-97.0707569332082","0","Pig Run Point",8,"",""
4318,"32.5526357886054","-97.0711847897204","0","Pig Run Point",8,"",""
4317,"32.5532702764694","-97.0716126462326","0","Pig Run Point",8,"",""
4316,"32.5539047643334","-97.0720405027447","0","Pig Run Point",8,"",""
4315,"32.5545392521974","-97.0724683592569","0","Pig Run Point",8,"",""
4314,"32.5551737400614","-97.0728962157691","0","Pig Run Point",8,"",""
4313,"32.5558082279254","-97.0733240722813","0","Pig Run Point",8,"",""
4312,"32.5564427157894","-97.0737519287934","0","Pig Run Point",8,"",""
4311,"32.5570772036534","-97.0741797853056","0","Pig Run Point",8,"",""
4310,"32.5577116915174","-97.0746076418178","0","Pig Run Point",8,"",""
4309,"32.5583461793814","-97.07503549833","0","Pig Run Point",8,"",""
4308,"32.5589806672454","-97.0754633548421","0","Pig Run Point",8,"",""
4307,"32.5596151551093","-97.0758912113543","0","Pig Run Point",8,"",""
4306,"32.5602496429733","-97.0763190678665","0","Pig Run Point",8,"",""
4305,"32.5608841308373","-97.0767469243787","0","Pig Run Point",8,"",""
4304,"32.5615186187013","-97.0771747808908","0","Pig Run Point",8,"",""
4303,"32.5621531065653","-97.077602637403","0","Pig Run Point",8,"",""
4302,"32.5627875944293","-97.0780304939152","0","Pig Run Point",8,"",""
4301,"32.5634220822933","-97.0784583504274","0","Pig Run Point",8,"",""
4300,"32.5640565701573","-97.0788862069395","0","Pig Run Point",8,"",""
4299,"32.5646910580213","-97.0793140634517","0","Pig Run Point",8,"",""
4298,"32.5653255458853","-97.0797419199639","0","Pig Run Point",8,"",""
4297,"32.5659600337493","-97.0801697764761","0","Pig Run Point",8,"",""
4296,"32.5665945216132","-97.0805976329882","0","Pig Run Point",8,"",""
4295,"32.5672290094772","-97.0810254895004","0","Pig Run Point",8,"",""
4294,"32.5678634973412","-97.0814533460126","0","Pig Run Point",8,"",""
4293,"32.5684979852052","-97.0818812025248","0","Pig Run Point",8,"",""
4292,"32.5691324730692","-97.0823090590369","0","Pig Run Point",8,"",""
4291,"32.5697669609332","-97.0827369155491","0","Pig Run Point",8,"",""
4290,"32.5704014487972","-97.0831647720613","0","Pig Run Point",8,"",""
4289,"32.5710359366612","-97.0835926285735","0","Pig Run Point",8,"",""
